z6-07509,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
1/26/24 7:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8112,102.24,9.0
1/26/24 7:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8114,102.26,9.0
1/26/24 7:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8114,102.26,9.1
1/26/24 7:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8113,102.24,9.2
1/26/24 7:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8102,102.25,9.0
1/26/24 7:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8107,102.25,8.9
1/26/24 8:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8108,102.23,8.7
1/26/24 8:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8107,102.24,8.7
1/26/24 8:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8099,102.23,8.7
1/26/24 8:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8105,102.22,8.7
1/26/24 8:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8104,102.24,8.6
1/26/24 8:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8104,102.29,8.7
1/26/24 9:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8106,102.32,9.1
1/26/24 9:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8109,102.33,9.4
1/26/24 9:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8111,102.35,9.7
1/26/24 9:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8115,102.36,9.9
1/26/24 9:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8119,102.36,10.2
1/26/24 9:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8120,102.35,10.5
1/26/24 10:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8122,102.33,10.7
1/26/24 10:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8129,102.31,11.0
1/26/24 10:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8131,102.33,11.3
1/26/24 10:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8140,102.34,11.5
1/26/24 10:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8145,102.33,11.8
1/26/24 10:50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8146,102.35,12.1
1/26/24 11:00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8151,102.36,12.3
1/26/24 11:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100,8152,102.39,12.5
