z6-07592,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/22/23 1:10,-0.061,-0.054,#N/A,-0.055,#N/A,-0.058,0,6075,100.54,21.1
12/22/23 2:25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6119,100.48,20.8
12/22/23 3:05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6005,100.54,20.8
12/22/23 4:05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,5163,100.50,20.8
12/22/23 5:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6401,100.50,20.7
12/22/23 5:35,-0.068,-0.061,#N/A,-0.063,#N/A,-0.061,0,6516,100.50,20.7
12/22/23 5:40,-0.060,-0.053,-0.073,-0.054,#N/A,-0.058,0,6644,100.50,20.6
12/22/23 5:45,-0.059,-0.051,-0.070,-0.052,-0.073,-0.057,0,6727,100.49,20.6
12/22/23 5:50,-0.057,-0.050,-0.070,-0.051,-0.071,-0.057,0,6782,100.49,20.6
12/22/23 5:55,-0.057,-0.042,-0.069,-0.050,-0.070,-0.057,0,6821,100.48,20.6
12/22/23 6:00,-0.057,-0.038,-0.068,-0.049,-0.070,-0.056,0,6844,100.48,20.6
12/22/23 6:05,-0.057,-0.037,-0.068,-0.049,-0.070,-0.057,0,6865,100.48,20.6
12/22/23 6:10,-0.056,-0.037,-0.069,-0.049,-0.070,-0.056,0,6875,100.46,20.6
12/22/23 6:15,-0.056,-0.037,-0.068,-0.049,-0.070,-0.056,0,6881,100.45,20.6
12/22/23 6:20,-0.057,-0.037,-0.068,-0.049,-0.070,-0.056,0,6886,100.46,20.6
12/22/23 6:25,-0.057,-0.036,-0.068,-0.048,-0.070,-0.056,0,6891,100.47,20.6
12/22/23 6:30,-0.056,-0.036,-0.068,-0.048,-0.069,-0.056,0,6897,100.48,20.6
12/22/23 6:35,-0.056,-0.036,-0.068,-0.048,-0.069,-0.056,0,6897,100.50,20.6
12/22/23 6:40,-0.055,-0.036,-0.068,-0.049,-0.069,-0.056,0,6903,100.49,20.6
12/22/23 6:45,-0.054,-0.036,-0.067,-0.048,-0.069,-0.056,0,6906,100.48,20.5
12/22/23 6:50,-0.056,-0.036,-0.068,-0.048,-0.069,-0.056,0,6906,100.48,20.5
12/22/23 6:55,-0.055,-0.036,-0.067,-0.048,-0.069,-0.056,0,6906,100.48,20.5
12/22/23 7:00,-0.054,-0.035,-0.068,-0.047,-0.068,-0.056,0,6908,100.48,20.5
12/22/23 7:05,-0.055,-0.035,-0.067,-0.048,-0.068,-0.055,0,6911,100.49,20.5
12/22/23 7:10,-0.055,-0.035,-0.068,-0.048,-0.068,-0.056,0,6913,100.50,20.5
12/22/23 7:15,-0.055,-0.035,-0.068,-0.047,-0.069,-0.055,0,6915,100.50,20.5
12/22/23 7:20,-0.055,-0.035,-0.067,-0.047,-0.068,-0.055,0,6914,100.50,20.5
12/22/23 7:25,-0.055,-0.035,-0.067,-0.048,-0.068,-0.055,0,6913,100.50,20.5
12/22/23 7:30,-0.054,-0.035,-0.067,-0.047,-0.068,-0.055,0,6916,100.50,20.5
12/22/23 7:35,-0.054,-0.035,-0.067,-0.047,-0.068,-0.055,0,6919,100.49,20.5
12/22/23 7:40,-0.055,-0.035,-0.067,-0.046,-0.068,-0.055,0,6918,100.48,20.5
12/22/23 7:45,-0.054,-0.034,-0.067,-0.048,-0.068,-0.055,0,6919,100.47,20.5
12/22/23 7:50,-0.054,-0.034,-0.067,-0.047,-0.068,-0.055,0,6919,100.47,20.4
12/22/23 7:55,-0.054,-0.034,-0.067,-0.047,-0.068,-0.056,0,6918,100.48,20.4
12/22/23 8:00,-0.054,-0.034,-0.066,-0.047,-0.068,-0.055,0,6920,100.47,20.4
12/22/23 8:05,-0.055,-0.034,-0.066,-0.047,-0.068,-0.055,0,6919,100.48,20.4
12/22/23 8:10,-0.054,-0.034,-0.066,-0.047,-0.068,-0.055,0,6920,100.50,20.4
12/22/23 8:15,-0.054,-0.034,-0.067,-0.047,-0.068,-0.055,0,6921,100.53,20.4
12/22/23 8:20,-0.054,-0.034,-0.066,-0.047,-0.068,-0.055,0,6922,100.55,20.4
12/22/23 8:25,-0.054,-0.033,-0.066,-0.047,-0.067,-0.055,0,6922,100.57,20.4
12/22/23 8:30,-0.054,-0.033,-0.066,-0.047,-0.067,-0.055,0,6919,100.56,20.4
12/22/23 8:35,-0.054,-0.033,-0.066,-0.047,-0.067,-0.055,0,6919,100.56,20.4
12/22/23 8:40,-0.053,-0.033,-0.066,-0.047,-0.067,-0.055,0,6923,100.57,20.4
12/22/23 8:45,-0.054,-0.034,-0.066,-0.046,-0.068,-0.055,0,6922,100.55,20.4
12/22/23 8:50,-0.054,-0.033,-0.066,-0.046,-0.067,-0.055,0,6922,100.55,20.4
12/22/23 8:55,-0.053,-0.033,-0.066,-0.046,-0.067,-0.055,0,6923,100.55,20.4
12/22/23 9:00,-0.053,-0.033,-0.066,-0.047,-0.067,-0.055,0,6920,100.56,20.3
12/22/23 9:05,-0.053,-0.033,-0.066,-0.046,-0.067,-0.055,0,6921,100.57,20.3
12/22/23 9:10,-0.054,-0.033,-0.066,-0.046,-0.067,-0.055,0,6921,100.58,20.3
12/22/23 9:15,-0.054,-0.033,-0.065,-0.046,-0.067,-0.055,0,6920,100.59,20.3
12/22/23 9:20,-0.053,-0.033,-0.065,-0.046,-0.067,-0.055,0,6922,100.60,20.3
12/22/23 9:25,-0.053,-0.033,-0.065,-0.043,-0.066,-0.055,0,6923,100.61,20.3
12/22/23 9:30,-0.053,-0.033,-0.065,-0.043,-0.067,-0.055,0,6922,100.62,20.3
12/22/23 9:35,-0.053,-0.032,-0.066,-0.043,-0.067,-0.055,0,6921,100.62,20.3
12/22/23 9:40,-0.053,-0.032,-0.065,-0.043,-0.066,-0.055,0,6921,100.60,20.3
12/22/23 9:45,-0.053,-0.032,-0.065,-0.042,-0.067,-0.055,0,6922,100.61,20.3
12/22/23 9:50,-0.053,-0.032,-0.065,-0.042,-0.067,-0.054,0,6919,100.62,20.3
12/22/23 9:55,-0.053,-0.032,-0.065,-0.042,-0.067,-0.055,0,6920,100.61,20.3
12/22/23 10:00,-0.053,-0.032,-0.065,-0.043,-0.067,-0.055,0,6922,100.60,20.3
12/22/23 10:05,-0.053,-0.032,-0.065,-0.043,-0.067,-0.055,0,6922,100.60,20.3
12/22/23 10:10,-0.053,-0.032,-0.066,-0.043,-0.067,-0.054,0,6919,100.61,20.3
12/22/23 10:15,-0.053,-0.033,-0.066,-0.043,-0.067,-0.054,0,6919,100.61,20.3
12/22/23 10:20,-0.053,-0.032,-0.065,-0.043,-0.067,-0.054,0,6916,100.61,20.3
