z6-07590,Port 1,Port 2,Port 3,Port 4,Port 5,Port 6,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
12/23/23 21:20,#N/A,#N/A,-0.064,-0.062,-0.055,-0.027,0,6250,100.95,20.0
12/23/23 22:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6707,101.00,19.8
12/23/23 22:40,#N/A,#N/A,-0.069,-0.065,-0.059,-0.030,0,6667,101.00,19.8
12/23/23 22:50,#N/A,#N/A,-0.065,-0.062,-0.055,-0.027,0,6630,101.00,19.8
12/23/23 23:00,#N/A,#N/A,-0.063,-0.061,-0.054,-0.026,0,6580,101.03,19.8
12/23/23 23:10,#N/A,#N/A,-0.063,-0.061,-0.054,-0.026,0,6467,101.06,19.8
12/23/23 23:20,#N/A,#N/A,-0.062,-0.061,-0.053,-0.025,0,6245,101.07,19.7
12/24/23 0:30,#N/A,#N/A,#N/A,#N/A,#N/A,-0.059,0,6683,101.06,19.6
12/24/23 0:40,#N/A,#N/A,-0.065,-0.063,-0.056,-0.027,0,6639,101.05,19.6
12/24/23 0:50,#N/A,#N/A,-0.063,-0.061,-0.053,-0.025,0,6594,101.01,19.6
12/24/23 1:00,#N/A,#N/A,-0.062,-0.060,-0.053,-0.025,0,6504,101.00,19.5
12/24/23 1:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6435,101.01,19.5
12/24/23 1:20,#N/A,#N/A,-0.062,-0.060,-0.053,-0.025,0,6141,101.02,19.5
12/24/23 1:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6638,101.06,19.5
12/24/23 1:50,#N/A,#N/A,-0.066,-0.064,-0.056,-0.028,0,6469,101.05,19.5
12/24/23 2:00,#N/A,#N/A,-0.062,-0.060,-0.052,-0.025,0,6102,101.04,19.4
12/24/23 3:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6705,101.13,19.3
12/24/23 3:40,#N/A,#N/A,-0.068,-0.065,-0.058,-0.030,0,6638,101.13,19.3
12/24/23 3:50,#N/A,#N/A,-0.061,-0.060,-0.053,-0.024,0,6580,101.14,19.3
12/24/23 4:00,#N/A,#N/A,-0.060,-0.059,-0.051,-0.023,0,6477,101.13,19.2
12/24/23 4:10,#N/A,#N/A,-0.059,-0.058,-0.051,-0.023,0,6230,101.14,19.2
12/24/23 4:30,#N/A,#N/A,#N/A,#N/A,#N/A,-0.055,0,6569,101.17,19.2
12/24/23 4:40,#N/A,#N/A,-0.061,-0.059,-0.052,-0.024,0,6298,101.17,19.2
12/24/23 5:10,#N/A,#N/A,#N/A,#N/A,#N/A,-0.070,0,6628,101.20,19.1
12/24/23 5:20,#N/A,#N/A,-0.064,-0.061,-0.054,-0.025,0,6458,101.20,19.1
12/24/23 5:30,-0.074,#N/A,-0.060,-0.058,-0.051,-0.022,0,5996,101.21,19.1
12/24/23 6:40,#N/A,#N/A,#N/A,#N/A,#N/A,-0.056,0,6616,101.34,19.0
12/24/23 6:50,#N/A,#N/A,-0.061,-0.059,-0.052,-0.024,0,6474,101.31,19.0
12/24/23 7:00,-0.073,#N/A,-0.059,-0.058,-0.049,-0.022,0,6101,101.27,18.9
12/24/23 7:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6692,101.28,18.9
12/24/23 7:30,#N/A,#N/A,#N/A,#N/A,-0.069,-0.037,0,6483,101.30,18.9
12/24/23 7:40,-0.074,#N/A,-0.059,-0.058,-0.051,-0.022,0,5890,101.31,18.9
12/24/23 8:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6680,101.33,18.9
12/24/23 8:20,#N/A,#N/A,-0.071,-0.068,-0.061,-0.032,0,6440,101.33,18.8
12/24/23 8:30,-0.073,#N/A,-0.059,-0.058,-0.050,-0.022,0,5628,101.34,18.8
12/24/23 12:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6720,101.43,18.9
12/24/23 12:30,#N/A,#N/A,-0.069,-0.066,-0.060,-0.031,0,6628,101.42,18.9
12/24/23 12:40,#N/A,#N/A,-0.061,-0.059,-0.052,-0.024,0,6525,101.40,19.0
12/24/23 12:50,#N/A,#N/A,-0.060,-0.058,-0.050,-0.023,0,6281,101.40,19.0
12/24/23 14:20,#N/A,#N/A,#N/A,#N/A,#N/A,-0.063,0,6659,101.35,19.3
12/24/23 14:30,#N/A,#N/A,-0.065,-0.063,-0.056,-0.028,0,6557,101.33,19.4
12/24/23 14:40,#N/A,#N/A,-0.063,-0.061,-0.054,-0.025,0,6339,101.32,19.4
12/24/23 15:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6672,101.30,19.6
12/24/23 15:30,#N/A,#N/A,-0.069,-0.066,-0.060,-0.031,0,6527,101.30,19.6
12/24/23 15:40,#N/A,#N/A,-0.064,-0.062,-0.055,-0.027,0,6149,101.29,19.6
12/24/23 16:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6647,101.27,19.7
12/24/23 16:20,#N/A,#N/A,-0.069,-0.066,-0.060,-0.032,0,6409,101.28,19.7
12/24/23 16:30,#N/A,#N/A,-0.064,-0.062,-0.055,-0.028,0,5949,101.30,19.7
12/24/23 17:10,#N/A,#N/A,#N/A,#N/A,#N/A,-0.061,0,6538,101.28,19.8
12/24/23 17:20,#N/A,#N/A,-0.067,-0.064,-0.057,-0.029,0,5999,101.26,19.8
12/24/23 18:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6648,101.25,19.8
12/24/23 18:30,#N/A,#N/A,-0.070,-0.067,-0.060,-0.033,0,6350,101.26,19.8
12/24/23 19:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6707,101.38,19.7
12/24/23 19:50,#N/A,#N/A,#N/A,-0.074,-0.067,-0.040,0,6515,101.40,19.7
12/24/23 20:00,#N/A,#N/A,-0.065,-0.063,-0.056,-0.028,0,5995,101.40,19.7
12/24/23 20:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6675,101.41,19.6
12/24/23 20:50,#N/A,#N/A,-0.072,-0.069,-0.062,-0.035,0,6332,101.42,19.6
12/24/23 21:30,#N/A,#N/A,#N/A,#N/A,#N/A,-0.062,0,6549,101.42,19.5
12/24/23 21:40,#N/A,#N/A,-0.065,-0.063,-0.056,-0.027,0,5953,101.43,19.5
12/24/23 22:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6663,101.41,19.5
12/24/23 22:30,#N/A,#N/A,-0.072,-0.068,-0.061,-0.033,0,6130,101.43,19.5
12/24/23 23:20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6690,101.44,19.4
12/24/23 23:30,#N/A,#N/A,#N/A,-0.071,-0.065,-0.036,0,6274,101.44,19.3
12/25/23 0:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6712,101.44,19.3
12/25/23 0:40,#N/A,#N/A,#N/A,#N/A,-0.074,-0.041,0,6393,101.45,19.2
12/25/23 0:50,#N/A,#N/A,-0.063,-0.061,-0.054,-0.025,0,5888,101.44,19.2
12/25/23 1:10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,5867,101.40,19.2
12/25/23 1:40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6506,101.42,19.2
12/25/23 1:50,#N/A,#N/A,-0.067,-0.064,-0.057,-0.028,0,5855,101.41,19.1
12/25/23 2:30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6648,101.40,19.1
