Harvest Treatment,SampleID,Plot,Sample No.,Depth (cm),Wet Weight (g),Tin Number,Tin Weight (g),Weight on 3/3/24 (with tin),3/7/24,Dry Weight (g) (soil + tin),Calculated Soil Dry Weight (g),Calculated Water Weight (g),GWC (%) ,Notes
90 Day,90day-5A2-30,5A,2,30,116.12,88,31.65,,,122.54,90.89,25.23,27.8%,
90 Day,90day-5A2-60,5A,2,60,168.59,54,31.86,,,167.59,135.73,32.86,24.2%,
90 day,90day-5B1-15,5B,1,15,143.89,98,32.15,144.35,144.3,144.31,112.16,31.73,28.3%,
90 day,90day-5B1-30,5B,1,30,135.87,29,32.33,,,140.14,107.81,28.06,26.0%,
90 Day,90day-5B1-60,5B,1,60,179.44,4,32.76,,,179.26,146.5,32.94,22.5%,
90 Day,90day-5B2-15,5B,2,15,154.89,8,32.35,,,162.98,130.63,24.26,18.6%,has a duplicate
90 day,90day-5B2-15,5B,2,15,80.85,23,31.74,,,91.43,59.69,21.16,35.4%,has a duplicate
90 day,90day-5B2-30,5B,2,30,198.74,24,32.54,,,195.97,163.43,35.31,21.6%,has a duplicate
90 day,90day-5B2-30,5B,2,30,184.07,37,32.41,,,180.75,148.34,35.73,24.1%,has a duplicate
90 day,90day-5B2-60,5B,2,60,131.9,42,32.1,,,134.27,102.17,29.73,29.1%,has a duplicate
90 day,90day-5B2-60,5B,2,60,106.72,108,32.34,113.7,113.64,113.66,81.32,25.4,31.2%,has a duplicate
90 day,90day-5C2-15,5C,2,15,157.78,100,31.7,,,153.97,122.27,35.51,29.0%,
90 day,90day-5C2-30,5C,2,30,144.5,65,32.14,,,147.46,115.32,29.18,25.3%,
90 day,90day-5C2-60,5C,2,60,116.1,73,31.77,,,122.4,90.63,25.47,28.1%,
90 day,90day-6A1-15,6A,1,15,130.66,30,32.41,,,134.1,101.69,28.97,28.5%,has a duplicate
90 day,90day-6A1-15,6A,1,15,92.73,69,31.91,,,104.78,72.87,19.86,27.3%,has a duplicate
90 day,90day-6A1-30,6A,1,30,102.79,14,31.86,,,110.33,78.47,24.32,31.0%,has a duplicate
90 day,90day-6A1-30,6A,1,30,59.79,38,32.49,,,75.62,43.13,16.66,38.6%,has a duplicate
90 day,90day-6A1-60,6A,1,60,98.12,62,32.39,,,106.02,73.63,24.49,33.3%,has a duplicate
90 day,90day-6A1-60,6A,1,60,77.67,81,31.95,,,88.41,56.46,21.21,37.6%,has a duplicate
90 day,90day-6A2-15,6A,2,15,143.74,70,32.4,,,142.3,109.9,33.84,30.8%,has a duplicate
90 day,90day-6A2-15,6A,2,15,108.92,93,32.28,,,117.8,85.52,23.4,27.4%,has a duplicate
90 day,90day-6A2-30,6A,2,30,163.9,49,31.94,,,161.95,130.01,33.89,26.1%,has a duplicate
90 day,90day-6A2-30,6A,2,30,115.42,90,31.96,,,121.23,89.27,26.15,29.3%,has a duplicate
90 day,90day-6A2-60,6A,2,60,81.62,64,32.32,,,91.15,58.83,22.79,38.7%,has a duplicate
90 day,90day-6A2-60,6A,2,60,197.44,71,32.16,,,188.62,156.46,40.98,26.2%,has a duplicate
90 day,90day-6B1-15,6B,1,15,150.56,74,32.14,,,149.07,116.93,33.63,28.8%,has a duplicate
90 day,90day-6B1-15,6B,1,15,168.26,78,32.44,,,162.52,130.08,38.18,29.4%,"ripped bag (at time of removal from oven 3/1,168.24)"
